date,adjusted_close
2022-08-03,398.3925
2022-08-04,398.1234
2022-08-05,397.4505
2022-08-08,396.9891
2022-08-09,395.4126
2022-08-10,403.7179
2022-08-11,403.7179
2022-08-12,410.5524
2022-08-15,412.2442
2022-08-16,413.0517
2022-08-17,410.1198
2022-08-18,411.3118
2022-08-19,405.7846
2022-08-22,397.3351
2022-08-23,396.3739
2022-08-24,397.6427
2022-08-25,403.2565
2022-08-26,389.6066
2022-08-29,387.0305
2022-08-30,382.7817
2022-08-31,379.8691
2022-09-01,381.0611
2022-09-02,377.043
2022-09-06,375.6204
2022-09-07,382.3684
2022-09-08,384.8676
2022-09-09,390.8466
2022-09-12,395.0473
2022-09-13,377.8697
2022-09-14,379.3116
2022-09-15,375.0052
2022-09-16,372.1443
2022-09-19,375.0302
2022-09-20,370.7254
2022-09-21,364.2586
2022-09-22,361.1989
2022-09-23,355.147
2022-09-26,351.6337
2022-09-27,350.736
2022-09-28,357.6373
2022-09-29,350.1666
2022-09-30,344.7518
2022-10-03,353.8537
2022-10-04,364.8184
2022-10-05,363.969
2022-10-06,360.2144
2022-10-07,350.1666
2022-10-10,347.493
2022-10-11,345.2923
2022-10-12,344.1534
2022-10-13,353.2359
2022-10-14,345.1861
2022-10-17,354.0564
2022-10-18,358.2164
2022-10-19,355.6779
2022-10-20,352.6954
2022-10-21,361.2664
2022-10-24,365.6871
2022-10-25,371.5266
2022-10-26,368.7275
2022-10-27,366.7584
2022-10-28,375.4839
2022-10-31,372.7717
2022-11-01,371.1405
2022-11-02,361.8262
2022-11-03,358.1006
2022-11-04,363.2547
2022-11-07,366.7295
2022-11-08,368.7082
2022-11-09,361.112
2022-11-10,380.9566
2022-11-11,384.6437
2022-11-14,381.3716
2022-11-15,384.6244
2022-11-16,381.6902
2022-11-17,380.5223
2022-11-18,382.25
2022-11-21,380.8601
2022-11-22,385.9853
2022-11-23,388.4176
2022-11-25,388.3308
2022-11-28,382.1342
2022-11-29,381.4778
2022-11-30,393.4946
2022-12-01,393.205
2022-12-02,392.7514
2022-12-05,385.6861
2022-12-06,380.1265
2022-12-07,379.4798
2022-12-08,382.4527
2022-12-09,379.5957
2022-12-12,385.0684
2022-12-13,387.9833
2022-12-14,385.5027
2022-12-15,376.0727
2022-12-16,371.6327
2022-12-19,368.4814
2022-12-20,368.9856
2022-12-21,374.5028
2022-12-22,369.1601
2022-12-23,371.2836
2022-12-27,369.8195
2022-12-28,365.2234
2022-12-29,371.7975
2022-12-30,370.8182
2023-01-03,369.2571
2023-01-04,372.1078
2023-01-05,367.8608
2023-01-06,376.2967
2023-01-09,376.0833
2023-01-10,378.7207
2023-01-11,383.5108
2023-01-12,384.907
2023-01-13,386.4003
2023-01-17,385.6924
2023-01-18,379.6031
2023-01-19,376.8396
2023-01-20,383.8598
2023-01-23,388.4656
2023-01-24,388.0487
2023-01-25,388.1941
2023-01-26,392.4605
2023-01-27,393.3623
2023-01-30,388.4268
2023-01-31,394.138
2023-02-01,398.3268
2023-02-02,404.1252
2023-02-03,399.8297
2023-02-06,397.3863
2023-02-07,402.5835
2023-02-08,398.1814
2023-02-09,394.7294
2023-02-10,395.6506
2023-02-13,400.2952
2023-02-14,400.1109
2023-02-15,401.4102
2023-02-16,395.8833
2023-02-17,394.8943
2023-02-21,386.9724
2023-02-22,386.4391
2023-02-23,388.4947
2023-02-24,384.3446
2023-02-27,385.6536
2023-02-28,384.2283
2023-03-01,382.7544
2023-03-02,385.7312
2023-03-03,391.9175
2023-03-06,392.189
2023-03-07,386.1773
2023-03-08,386.8075
2023-03-09,379.671
2023-03-10,374.1925
2023-03-13,373.6592
2023-03-14,379.8358
2023-03-15,377.4602
2023-03-16,384.0828
2023-03-17,379.5919
2023-03-20,383.2419
2023-03-21,388.274
2023-03-22,381.6553
2023-03-23,382.6871
2023-03-24,385.1983
2023-03-27,385.9186
2023-03-28,385.0523
2023-03-29,390.649
2023-03-30,392.9363
2023-03-31,398.4746
2023-04-03,399.993
2023-04-04,397.7738
2023-04-05,396.7323
2023-04-06,398.2799
2023-04-10,398.6887
2023-04-11,398.7958
2023-04-12,397.1703
2023-04-13,402.4458
2023-04-14,401.4627
2023-04-17,402.9033
2023-04-18,403.1661
2023-04-19,403.098
2023-04-20,400.8982
2023-04-21,401.2097
2023-04-24,401.6282
2023-04-25,395.2529
2023-04-26,393.5787
2023-04-27,401.4141
2023-04-28,404.8402
2023-05-01,404.4314
2023-05-02,399.8859
2023-05-03,397.1411
2023-05-04,394.3282
2023-05-05,401.6282
2023-05-08,401.7353
2023-05-09,399.9735
2023-05-10,401.8424
2023-05-11,401.1415
2023-05-12,400.6159
2023-05-15,401.9981
2023-05-16,399.3117
2023-05-17,404.1589
2023-05-18,408.0522
2023-05-19,407.4585
2023-05-22,407.624
2023-05-23,403.0493
2023-05-24,400.1293
2023-05-25,403.5944
2023-05-26,408.8212
2023-05-30,408.9769
2023-05-31,406.709
2023-06-01,410.5732
2023-06-02,416.5105
2023-06-05,415.7124
2023-06-06,416.6176
2023-06-07,415.1771
2023-06-08,417.6883
2023-06-09,418.4378
2023-06-12,422.2338
2023-06-13,425.0175
2023-06-14,425.5237
2023-06-15,430.7991
2023-06-16,429.3318
2023-06-20,427.1043
2023-06-21,424.9159
2023-06-22,426.4497
2023-06-23,423.2258
2023-06-26,421.4966
2023-06-27,426.1176
2023-06-28,426.3325
2023-06-29,428.0129
2023-06-30,433.0637
2023-07-03,433.562
2023-07-05,432.9172
2023-07-06,429.5271
2023-07-07,428.4427
2023-07-10,429.5271
2023-07-11,432.2626
2023-07-12,435.7406
2023-07-13,439.199
2023-07-14,438.9254
2023-07-17,440.4495
2023-07-18,443.7223
2023-07-19,444.709
2023-07-20,441.7586
2023-07-21,441.7586
2023-07-24,443.732
2023-07-25,444.9435
2023-07-26,445.0119
2023-07-27,442.0615
2023-07-28,446.3894
2023-07-31,447.2393
2023-08-01,445.9595
2023-08-02,439.7558
2023-08-03,438.4956
2023-08-04,436.5124
2023-08-07,440.3225
2023-08-08,438.4076
2023-08-09,435.4768
2023-08-10,435.6331
2023-08-11,435.3791
2023-08-14,437.7824
2023-08-15,432.6827
2023-08-16,429.5076
2023-08-17,426.2348
2023-08-18,426.44
2023-08-21,429.2145
2023-08-22,428.0519
2023-08-23,432.8195
2023-08-24,426.821
2023-08-25,429.83
2023-08-28,432.5557
2023-08-29,438.8082
2023-08-30,440.6156
2023-08-31,439.9708
2023-09-01,440.7914
2023-09-05,438.8864
2023-09-06,435.936
2023-09-07,434.5975
2023-09-08,435.2521
2023-09-11,438.1146
2023-09-12,435.7113
2023-09-13,436.2193
2023-09-14,439.9805
